"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"133","RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @Walmart exclusive T-51 Power Armor Pop! #Fallout https://t.co/WSOgqB…",FALSE,0,NA,2018-11-15 09:56:06,FALSE,NA,"1063007725888700421",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cbarker3007",3989,TRUE,FALSE,NA,NA
"134","RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @Walmart exclusive T-51 Power Armor Pop! #Fallout https://t.co/WSOgqB…",FALSE,0,NA,2018-11-15 09:56:05,FALSE,NA,"1063007723896356864",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","nuriamg68",3989,TRUE,FALSE,NA,NA
"135","RT @BHGLiveBetter: Don't forget to enter our #WalmartWednesday #giveaway by 11pm ET tonight for your chance to #win a @Walmart gift card.",FALSE,0,NA,2018-11-15 09:55:47,FALSE,NA,"1063007648570851328",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CL2n2",57,TRUE,FALSE,NA,NA
"136","RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @Walmart exclusive T-51 Power Armor Pop! #Fallout https://t.co/WSOgqB…",FALSE,0,NA,2018-11-15 09:55:24,FALSE,NA,"1063007550134738944",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Jor_gamer",3989,TRUE,FALSE,NA,NA
"137","RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @Walmart exclusive T-51 Power Armor Pop! #Fallout https://t.co/WSOgqB…",FALSE,0,NA,2018-11-15 09:54:57,FALSE,NA,"1063007436821413890",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HUSSARDO",3989,TRUE,FALSE,NA,NA
"138","RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @Walmart exclusive T-51 Power Armor Pop! #Fallout https://t.co/WSOgqB…",FALSE,0,NA,2018-11-15 09:54:54,FALSE,NA,"1063007424737693696",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Takafett",3989,TRUE,FALSE,NA,NA
"139","RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @Walmart exclusive T-51 Power Armor Pop! #Fallout https://t.co/WSOgqB…",FALSE,0,NA,2018-11-15 09:54:49,FALSE,NA,"1063007403103391744",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaymac1004",3989,TRUE,FALSE,NA,NA
"140","RT @DesignationSix: Here are some @FoxNews sponsors. They are tagged so they will be notified for each LIKE RETWEET or COMMENT.
@KraftHeinz…",FALSE,0,NA,2018-11-15 09:54:46,FALSE,NA,"1063007393208918016",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SlythSeeker",215,TRUE,FALSE,NA,NA
"141","RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @Walmart exclusive T-51 Power Armor Pop! #Fallout https://t.co/WSOgqB…",FALSE,0,NA,2018-11-15 09:54:29,FALSE,NA,"1063007318625923072",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sparrowmomo",3989,TRUE,FALSE,NA,NA
"142","RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @Walmart exclusive T-51 Power Armor Pop! #Fallout https://t.co/WSOgqB…",FALSE,0,NA,2018-11-15 09:54:24,FALSE,NA,"1063007298845589504",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_Dami1_",3989,TRUE,FALSE,NA,NA
"143","RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @Walmart exclusive T-51 Power Armor Pop! #Fallout https://t.co/WSOgqB…",FALSE,0,NA,2018-11-15 09:54:21,FALSE,NA,"1063007284819705857",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Jaaaaaaannnnnn",3989,TRUE,FALSE,NA,NA
"144","RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @Walmart exclusive T-51 Power Armor Pop! #Fallout https://t.co/WSOgqB…",FALSE,0,NA,2018-11-15 09:54:11,FALSE,NA,"1063007243120062464",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Titi24px",3989,TRUE,FALSE,NA,NA
"145","RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @Walmart exclusive T-51 Power Armor Pop! #Fallout https://t.co/WSOgqB…",FALSE,0,NA,2018-11-15 09:54:06,FALSE,NA,"1063007224426041345",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Idan_Harush",3989,TRUE,FALSE,NA,NA
"146","RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @Walmart exclusive T-51 Power Armor Pop! #Fallout https://t.co/WSOgqB…",FALSE,0,NA,2018-11-15 09:53:52,FALSE,NA,"1063007166465040385",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hi_im_catgrace",3989,TRUE,FALSE,NA,NA
"147","RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @Walmart exclusive T-51 Power Armor Pop! #Fallout https://t.co/WSOgqB…",FALSE,0,NA,2018-11-15 09:53:49,FALSE,NA,"1063007151092838400",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jpurkey121072",3989,TRUE,FALSE,NA,NA
"148","@BrickSeek @NYC @StatenIsland  @Walmart Can we pls get a Walmart out here for us? It's depressing driving to anothe… https://t.co/sexszN1g7T",FALSE,0,"BrickSeek",2018-11-15 09:53:42,TRUE,NA,"1063007124731674624","2835425876","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nicoles_lounge",0,FALSE,FALSE,NA,NA
"149","RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @Walmart exclusive T-51 Power Armor Pop! #Fallout https://t.co/WSOgqB…",FALSE,0,NA,2018-11-15 09:53:35,FALSE,NA,"1063007093534339073",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","thedeadinme",3989,TRUE,FALSE,NA,NA
"150","RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @Walmart exclusive T-51 Power Armor Pop! #Fallout https://t.co/WSOgqB…",FALSE,0,NA,2018-11-15 09:53:18,FALSE,NA,"1063007021618941953",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Martygtl",3989,TRUE,FALSE,NA,NA
"151","RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @Walmart exclusive T-51 Power Armor Pop! #Fallout https://t.co/WSOgqB…",FALSE,0,NA,2018-11-15 09:53:11,FALSE,NA,"1063006991528935424",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dolfan2388",3989,TRUE,FALSE,NA,NA
"152","RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @Walmart exclusive T-51 Power Armor Pop! #Fallout https://t.co/WSOgqB…",FALSE,0,NA,2018-11-15 09:52:33,FALSE,NA,"1063006834125094912",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AchilleGiff",3989,TRUE,FALSE,NA,NA
"153","RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @Walmart exclusive T-51 Power Armor Pop! #Fallout https://t.co/WSOgqB…",FALSE,0,NA,2018-11-15 09:52:33,FALSE,NA,"1063006832036323328",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SithDaddy51",3989,TRUE,FALSE,NA,NA
